"","p_val","avg_diff","pct.1","pct.2","p_val_adj","cluster","gene"
"CADM1.1",1.17205245955209e-13,0.435327398539327,0.743,0.55,2.34410491910418e-10,"3","CADM1"
"SOD3.3",1.20183937486727e-13,0.340195678028821,0.769,0.645,2.40367874973453e-10,"3","SOD3"
"EMG1.3",1.22137964482886e-13,0.377274794241367,0.69,0.547,2.44275928965772e-10,"3","EMG1"
"IFIT1.1",1.37699414484858e-13,0.486813091238851,0.472,0.269,2.75398828969716e-10,"3","IFIT1"
"LAMC1.2",2.58755581182561e-13,0.357955730349517,0.761,0.593,5.17511162365123e-10,"3","LAMC1"
"MGP.3",3.95096308125841e-13,0.364369037994423,0.724,0.589,7.90192616251682e-10,"3","MGP"
"DBI.2",4.12629273476787e-13,0.302709217418377,0.7,0.538,8.25258546953574e-10,"3","DBI"
"EBNA1BP2.3",4.55367632097607e-13,0.345017437534462,0.78,0.639,9.10735264195213e-10,"3","EBNA1BP2"
"TUBA1C.3",4.65032621579901e-13,0.308481653329979,0.714,0.589,9.30065243159803e-10,"3","TUBA1C"
"LINC01460",4.6645844875105e-13,-0.0116268295798875,0.271,0.167,9.329168975021e-10,"3","LINC01460"
"METRN.2",4.88374392387862e-13,-0.379358492632913,0.454,0.645,9.76748784775724e-10,"3","METRN"
"CCDC85B",5.09294320988361e-13,-0.260613004070381,0.387,0.576,1.01858864197672e-09,"3","CCDC85B"
"CLEC2B.1",5.74213235060165e-13,0.297259734564505,0.727,0.627,1.14842647012033e-09,"3","CLEC2B"
"HSD17B6",6.0476258264758e-13,0.536157556892352,0.504,0.274,1.20952516529516e-09,"3","HSD17B6"
"CTSF.2",7.44058587982087e-13,0.394498350186951,0.687,0.523,1.48811717596417e-09,"3","CTSF"
"TNFAIP6.2",7.99567900563511e-13,0.471107809596713,0.483,0.287,1.59913580112702e-09,"3","TNFAIP6"
"SNHG8.2",8.00607577352809e-13,-0.394881321118318,0.422,0.601,1.60121515470562e-09,"3","SNHG8"
"EZR.2",1.13091198041999e-12,0.385502706168306,0.745,0.59,2.26182396083998e-09,"3","EZR"
"AC002116.7.2",1.27941030922237e-12,0.003065252465967,0.379,0.26,2.55882061844474e-09,"3","AC002116.7"
"CCNA1.2",1.62630435475283e-12,0.0737320997904602,0.403,0.276,3.25260870950566e-09,"3","CCNA1"
"RFC4",1.80952378222067e-12,0.402066340436652,0.324,0.163,3.61904756444134e-09,"3","RFC4"
"ITGB1BP1.2",2.01466225284974e-12,-0.38797800768507,0.44,0.625,4.02932450569948e-09,"3","ITGB1BP1"
"UCHL3.3",2.05100142279234e-12,0.335438523797288,0.782,0.649,4.10200284558469e-09,"3","UCHL3"
"HNRNPA1.2",2.21698431630698e-12,-0.339514631216718,0.366,0.55,4.43396863261397e-09,"3","HNRNPA1"
"GTPBP4.3",2.23685435008303e-12,0.381847570060174,0.732,0.566,4.47370870016605e-09,"3","GTPBP4"
