PC,Proportion.Variance.Explained
1,0.012507080792882111
2,0.005035106724989221
3,0.0031352225036557374
4,0.002412607401471775
5,0.0015997889679961815
6,0.0013329760809889953
7,0.0011662618360124774
8,0.001001287979126322
9,0.0008869518318615444
10,0.0008730709560489936
